name,lat,lon
Humboldt Harbor Entrance,40.76816197136951,-124.24248
Little River State Beach,41.0155,-124.1152
Moonstone Beach,41.0259,-124.117
Trinidad State Beach,41.05816,-124.15049
College Cove,41.067,-124.1517
Sue-meg,41.13016238153297,-124.16466
Agate Beach,41.1439,-124.144
Gold Bluffs Beach,41.3848,-124.0707
Fern Canyon Beach,41.4024,-124.069
Wilson Creek Beach,41.5987,-124.1008
South Beach,41.74259,-124.17607
Tolowa Dunes State Park,41.8691,-124.214
Pelican State Beach,41.9922,-124.2115
